High School,TEA ID,2024 College Enrollment Level,2024 College Enrollment %
JUSTIN F. KIMBALL HIGH SCHOOL,57905008,AA Not Enrolled,0.025104603
KATHLYN J. GILLIAM COLLEGIATE ACADEMY,57905085,AA Not Enrolled,0.054054054
LINCOLN HIGH SCHOOL,57905009,AA Not Enrolled,0.006578947
MARVIN E. ROBINSON SCHOOL OF BUSINESS AND MANAGEMENT AT TOWNVIEW,57905033,AA Not Enrolled,0
MOISES E. MOLINA HIGH SCHOOL,57905005,AA Not Enrolled,0.057522124
NEW TECH HIGH SCHOOL AT B.F. DARRELL,57905003,AA Not Enrolled,0
NORTH DALLAS HIGH SCHOOL,57905024,AA Not Enrolled,0.020833333
NORTH LAKE EARLY COLLEGE HIGH SCHOOL,57905387,AA Not Enrolled,0.16
ROSIE M. COLLINS SORRELLS SCHOOL OF EDUCATION & SOCIAL SERVICES,57905037,AA Not Enrolled,0
SCHOOL FOR THE TALENTED & GIFTED AT TOWNVIEW,57905039,AA Not Enrolled,0
SCHOOL OF HEALTH PROFESSIONS AT TOWNVIEW,57905036,AA Not Enrolled,0
SCHOOL OF SCIENCE & ENGINEERING AT TOWNVIEW,57905026,AA Not Enrolled,0
SEAGOVILLE HIGH SCHOOL,57905015,AA Not Enrolled,0.021538462
SKYLINE HIGH SCHOOL,57905025,AA Not Enrolled,0.014765101
SOUTH OAK CLIFF HIGH SCHOOL,57905016,AA Not Enrolled,0.016611296
SUNSET HIGH SCHOOL,57905018,AA Not Enrolled,0.019565217
THOMAS JEFFERSON HIGH SCHOOL,57905007,AA Not Enrolled,0.042307692
TRINIDAD GARZA EARLY COLLEGE HIGH SCHOOL,57905088,AA Not Enrolled,0.12
W.H. ADAMSON HIGH SCHOOL,57905002,AA Not Enrolled,0.043731778
"W.L. LASSITER, JR. EARLY COLLEGE HIGH SCHOOL AT EL CENTRO COLLEGE",57905090,AA Not Enrolled,0.2
W.T. WHITE HIGH SCHOOL,57905021,AA Not Enrolled,0.055825243
W.W. SAMUELL HIGH SCHOOL,57905014,AA Not Enrolled,0.051219512
WILMER-HUTCHINS HIGH SCHOOL,57905380,AA Not Enrolled,0.035175879
WOODROW WILSON HIGH SCHOOL,57905022,AA Not Enrolled,0
DeSoto High School,57906001,AA Not Enrolled,0.004474273
Duncanville High School,57907001,AA Not Enrolled,0.006896552
Mary E. Smithey Pace High School,57907004,AA Not Enrolled,0
Garland High School,57909002,AA Not Enrolled,0
Lakeview Centennial High School,57909005,AA Not Enrolled,0.029821074
Naaman Forest High School,57909008,AA Not Enrolled,0.06185567
North Garland High School,57909004,AA Not Enrolled,0.0064
Rowlett High School,57909009,AA Not Enrolled,0.041275797
Sachse High School,57909010,AA Not Enrolled,0.004694836
South Garland High School,57909003,AA Not Enrolled,0.020283976
Crosswinds High School,57910009,AA Not Enrolled,0
Dubiski Career High School,57910010,AA Not Enrolled,0
Grand Prairie Fine Arts Academy,57910001,AA Not Enrolled,n/a
Grand Prairie High School,57910002,AA Not Enrolled,0.016981132
South Grand Prairie High School,57910003,AA Not Enrolled,0.009803922
Irving High School,57912002,AA Not Enrolled,0
Jack E. Singley Academy,57912006,AA Not Enrolled,0.014285714
MacArthur High School,57912003,AA Not Enrolled,0
Nimitz High School,57912004,AA Not Enrolled,0
KIPP Oak Cliff Academy,227820030,AA Not Enrolled,n/a
KIPP Pleasant Grove Leadership Academy,227820073,AA Not Enrolled,n/a
Lancaster High School,57913001,AA Not Enrolled,0.019193858
Horn High School,57914005,AA Not Enrolled,0.001550388
Mesquite High School,57914001,AA Not Enrolled,0
North Mesquite High School,57914002,AA Not Enrolled,0
Poteet High School,57914004,AA Not Enrolled,0
Vanguard High School,57914006,AA Not Enrolled,0
West Mesquite High School,57914003,AA Not Enrolled,0
Berkner High School,57916005,AA Not Enrolled,0
J.J. Pearce High School,57916004,AA Not Enrolled,0
Lake Highlands High School,57916002,AA Not Enrolled,0.001652893
Richardson High School,57916003,AA Not Enrolled,0
Uplift Atlas Preparatory,57803010,AA Not Enrolled,0
Uplift Grand Preparatory,57803016,AA Not Enrolled,0
Uplift Hampton Preparatory,57803007,AA Not Enrolled,0
Uplift Heights Preparatory,57803006,AA Not Enrolled,0
Uplift Infinity Preparatory,57803013,AA Not Enrolled,0
Uplift Luna Preparatory,57803005,AA Not Enrolled,0
Uplift North Hills Preparatory,57803002,AA Not Enrolled,0
Uplift Williams Preparatory,57803004,AA Not Enrolled,0
Uplift Wisdom Preparatory,57803019,AA Not Enrolled,0
Creekview High School,57903006,Not Enrolled,0.391857506
Early College High School at Brookhaven,57903010,Not Enrolled,0.215189873
Newman Smith High School,57903002,Not Enrolled,0.434042553
R. L. Turner High School,57903001,Not Enrolled,0.439655172
Ranchview High School,57903007,Not Enrolled,0.336363636
Cedar Hill Collegiate High School,57904003,Not Enrolled,0.02247191
Cedar Hill High School,57904001,Not Enrolled,0.388773389
BARACK OBAMA MALE LEADERSHIP ACADEMY AT A MACEO SMITH,57905381,Not Enrolled,0.179487179
BOOKER T. WASHINGTON HIGH SCHOOL FOR THE ARTS,57905034,Not Enrolled,0.163179916
BRYAN ADAMS HIGH SCHOOL LEADERSHIP ACADEMY,57905001,Not Enrolled,0.429718876
CITYLAB HIGH SCHOOL,57905383,Not Enrolled,0.416666667
DAVID W. CARTER HIGH SCHOOL,57905023,Not Enrolled,0.668103448
DR FREDERICK D. HAYNES III GLOBAL PREPARATORY ACADEMY AT PAUL QUINN*,57905388,Not Enrolled,n/a
DR L.G. PINKSTON SR HIGH SCHOOL,57905012,Not Enrolled,0.51984127
